Words;M V;SD V;N V;M A;SD A;N A;M P;SD  P;N P;M AoA;SD AoA;N AoA;Freq(Log10);Freq (1E6);Length;N (%);Grammatical category
steel;3,67;0,67;64;3,22;1,2;64;3,78;0,98;64;6,1;1,81;32;0,94;8,62;5;0;N
steen;3,78;0,72;64;2,63;1,3;64;4,88;1,16;64;4,32;1,49;32;1,55;35,72;5;0;N
steiger;4,2;0,67;64;3,59;1,23;64;4,17;1;64;7,67;2,5;31;0,11;1,28;7;0,4;N
steil;3,69;0,81;64;4,41;1,49;63;4,44;1,08;64;6,9;2,29;32;0,25;1,76;5;0,4;A
stek;4,16;0,75;63;3,54;1,18;61;3,79;1,22;62;8,23;3,02;32;0,12;1,3;4;2,7;N
steken;2,78;0,81;64;5,11;0,99;64;4,83;1,09;64;5,45;1,52;32;1,55;35,83;6;0;V
stel;5,2;1,03;64;3,98;1,2;64;4,31;1,11;64;6,94;2,32;32;2,33;214,94;4;0;N
stelen;1,86;0,77;64;5,72;0,83;64;4,13;1,52;64;6;1,84;32;1,78;59,82;6;0;V
stellen;4,14;0,59;64;4,31;1,03;62;4,02;1,09;64;7,13;2,06;32;2,02;105,81;7;0,9;V
stelt;3,93;0,68;61;3,65;1,19;63;3,95;0,9;61;6,74;2,1;32;1,73;54,29;5;3,1;N
stem;4,77;0,83;64;4,06;1,28;64;4,33;1,08;64;4,81;1,47;32;1,94;86,53;4;0;N
stemmen;4,33;0,94;64;4,77;0,81;64;4,58;1,15;64;7,42;2,62;32;1,6;40,02;7;0;V
stempel;3,95;0,52;64;3,52;1,23;64;4,09;1,19;64;5,77;1,94;32;0,69;4,92;7;0;N
stengel;4,11;0,6;63;2,97;1,14;64;3,41;1,21;63;6,23;1,93;32;-0,44;0,37;7;0,9;N
steppe;4,47;0,84;62;3,16;1,34;64;4,02;1;64;9,93;2,72;30;-0,11;0,78;6;1,3;N
steppen;4,36;0,66;59;4,86;1,25;64;3,79;1,12;63;6,97;2,85;31;-0,46;0,34;7;3,1;V
ster;5,34;0,91;64;3,77;1,47;64;4,8;1,27;64;4,81;2,04;32;1,64;43,77;4;0;N
stereo;4,84;0,82;64;4,56;1,25;64;4,3;0,94;64;7,61;2,16;32;0,51;3,2;6;0;N
sterfbed;1,59;0,89;64;2,77;1,86;64;3,7;2;64;8,9;2,34;32;0,24;1,74;8;0;N
sterk;5,58;0,79;64;5;0,93;64;5,95;0,86;64;4,58;1,78;32;1,98;95,22;5;0;A
sterken;4,85;0,7;62;4,83;1;64;4,95;0,97;61;8,34;2,94;30;0,22;1,67;7;3,1;V
sterven;1,59;0,95;64;3,81;2,03;64;3,98;2,21;64;6,29;1,9;32;2,24;175,26;7;0;V
stervend;1,55;0,73;64;3,53;1,94;64;3,38;2,24;64;7,35;1,89;32;0,08;1,19;8;0;A
steun;5,41;0,9;64;4;1,14;64;4,7;1,27;64;7,1;2,37;32;1,51;32,68;5;0;N
steunen;5,36;0,95;64;4,34;1,3;64;4,44;1,23;64;7,03;2,15;32;1,27;18,43;7;0;V
stevig;4,84;0,89;64;4,41;1,26;64;5,31;1,08;64;6,52;1,81;32;1,19;15,57;6;0;A
stichten;4,61;0,85;64;4,97;0,91;64;4,67;1,11;64;8,71;2,49;32;0,68;4,83;8;0;V
stiekem;3,33;1,05;64;3,92;1,47;64;3,58;1,28;64;6,55;2,38;32;1,07;11,69;7;0;A
stier;3,91;0,68;64;5,36;0,97;64;5,44;1,14;64;5,42;1,8;32;0,98;9,6;5;0;N
stift;4,22;0,58;64;3,41;1,12;64;3,84;1,04;64;4,55;1,59;32;-0,1;0,8;5;0;N
stijf;3,27;0,78;64;2,98;1,34;64;4,14;1,18;64;7,03;1,85;32;0,9;7,96;5;0;A
