Words;M V;SD V;N V;M A;SD A;N A;M P;SD  P;N P;M AoA;SD AoA;N AoA;Freq(Log10);Freq (1E6);Length;N (%);Grammatical category
duin;4,64;0,86;64;3;1,14;63;3,95;1,18;63;6,81;1,94;32;-0,41;0,39;4;0,9;N
duister;2,84;0,93;64;3,34;1,59;64;4,41;1,35;64;6,71;1,99;32;0,82;6,54;7;0;A
duit;4,52;0,78;64;3,54;1,18;61;3,9;1,05;60;8,77;3,02;31;-0,07;0,85;4;3,6;N
duivel;1,83;1,02;64;5,11;1,17;64;5,64;1,37;64;6,94;2,14;32;1,65;45,12;6;0;N
duizend;4,61;0,79;64;4,03;1,38;64;5,06;0,94;64;6,26;1,81;32;1,61;40,36;7;0;R
dulden;4,22;0,97;63;3,55;1,19;64;3,87;1,11;63;8,81;2,47;32;0,14;1,37;6;0,9;V
dun;4,02;1,03;64;3,44;1,11;64;3,2;1,12;64;5,48;1,59;32;0,96;9,1;3;0;A
dunk;3,86;1,02;64;4,34;1,25;61;4,42;1,18;62;9,87;3,16;31;0,38;2,38;4;2,7;N
duo;4,69;0,89;64;4;1,08;64;4,5;1,08;64;8,32;2,07;32;0,12;1,33;3;0;N
dupe;2,52;0,78;64;3,46;1,12;63;2,89;1,29;64;9,74;2,59;32;0;1,01;4;0,4;N
duren;3,7;0,61;64;3,77;1,12;64;4,16;0,97;63;6,16;1,83;32;1,7;49,65;5;0,4;V
durf;5,16;0,76;64;5,09;0,99;64;5,11;0,96;64;5,87;2,26;32;1,68;47,41;4;0;N
durven;5,27;0,84;64;5,28;0,79;64;5,31;1,02;64;5,58;1,96;32;1,22;16,6;6;0;V
duur;3,03;0,93;64;3,7;1,28;64;4,61;0,97;64;5,45;1,48;32;1,54;34,53;4;0;A
duurzaam;5,56;0,96;64;3,52;1,33;63;5,06;1,11;64;10,03;2,52;32;-0,64;0,23;8;0,4;A
duw;2,88;0,68;64;5,03;0,87;64;4,63;0,93;64;4,68;1,35;32;1,19;15,32;3;0;N
duwen;3,27;0,82;64;5,17;0,83;64;4,63;1,05;64;4,58;1,63;32;1,35;22,36;5;0;V
dwaalspoor;2,73;0,82;64;3,84;1,26;64;3,78;1,28;64;9;2,44;32;0,03;1,07;10;0;N
dwaas;2,72;0,7;64;3,94;1,22;64;2,97;1,22;64;6,55;2,01;32;1,36;22,75;5;0;A
dwalen;3,11;0,62;64;3,95;1,23;64;3,09;1;64;8,13;2,86;32;0,34;2,17;6;0;V
dwang;2,13;0,72;64;5,25;1,07;64;4,94;1,59;64;7,9;2,18;32;0,39;2,45;5;0;N
dwangbuis;1,95;0,72;64;3,75;1,9;64;4,72;1,9;64;9,52;2,28;32;0,2;1,6;9;0;N
dwangsom;2,24;0,8;62;4,23;1,39;64;4,68;1,63;63;11,45;3,22;31;-1,64;0,02;8;1,3;N
dwars;2,95;0,7;64;4,19;1,14;64;4,22;1,09;64;7,45;2,55;32;1,44;27,51;5;0;A
dweil;3,41;0,64;64;3,56;1,25;64;2,89;1,2;64;6,45;1,59;32;0,22;1,67;5;0;N
dweilen;3,44;0,71;64;4,7;1,08;64;3,48;1,04;64;6;1,67;32;0,08;1,19;7;0;V
dwerg;3,5;0,85;64;3,59;1,24;64;2,94;1,1;64;6,13;2,31;32;0,95;8,99;5;0;N
dwingen;2,41;0,85;64;5,34;1,1;64;5,38;1,33;64;7,13;2,58;32;1,25;17,72;7;0;V
dwingend;2,36;0,74;64;5,39;0,88;64;5,42;1,31;64;7,97;2,58;32;-0,6;0,25;8;0;A
dynamisch;5,55;0,73;64;5,45;1,04;64;4,98;0,97;64;11,16;3,13;32;-0,18;0,66;9;0;A
eb;4,25;0,69;64;3,59;1,2;63;3,5;1,25;64;7,26;1,83;32;0,1;1,26;2;0,4;N
echo;4,41;0,79;64;3,81;1,28;64;3,92;1,2;64;7,32;1,9;32;0,95;8,92;4;0;N
echt;5,33;0,82;64;4,14;1,28;64;4,83;1,12;64;4,61;1,52;32;3,2;1594,99;4;0;A
echtpaar;5,41;1,09;64;4,22;1,12;64;4,5;1,28;64;8,03;2,61;32;0,34;2,17;8;0;N
edel;4,94;0,77;64;3,46;1,24;63;4,78;1,08;64;8,32;2,89;32;0,06;1,14;4;0,4;A
eed;4,59;0,73;64;3,64;1,23;64;5,11;1,16;64;9,16;2,99;32;1,03;10,79;3;0;N
eelt;3,06;0,87;64;3,44;1,4;64;4,06;1,22;63;8,81;2,75;32;-0,19;0,64;4;0,4;N
eend;4,41;0,66;64;3,81;1,11;64;3,45;1,08;64;4,19;1,7;32;0,95;8,99;4;0;N
eenheid;5,08;0,82;64;3,67;1,17;64;4,84;1,59;64;8,23;2,45;32;1,39;24,72;7;0;N
eenvoudig;4,84;0,89;64;2,81;0,96;64;3,78;1,36;64;7,32;2,3;32;1,51;32,08;9;0;A
eenzaam;2,05;0,88;64;2,33;1,05;64;3,25;1,73;64;7,1;1,76;32;1,5;31,56;7;0;A
eenzaamheid;1,8;0,84;64;2,42;1,14;64;3,28;1,77;64;7,94;2,46;32;0,88;7,64;11;0;N
eer;5,48;0,85;64;4,11;1,22;64;5,34;1,06;64;7,84;2,28;32;1,87;74,57;3;0;N
eerbied;5,55;0,75;64;3,52;1,01;64;4,63;1,36;64;9,35;3,3;32;0,45;2,79;7;0;N
eerbiedig;5,41;0,85;63;3,55;1,1;64;4,27;1,52;64;8,68;2,84;32;-0,19;0,64;9;0,4;A
eerlijk;6,16;0,82;64;4,05;1,13;64;4,98;1,09;64;5,26;1,46;32;2,24;172,38;7;0;A
eerlijkheid;6,31;0,73;64;4,03;1,13;64;5,28;1,36;64;6,74;2,22;32;0,91;8,19;11;0;N
eeuw;4,3;0,75;64;3,34;1,34;64;4,59;1,11;64;7,67;2,11;31;1,4;25,15;4;0,4;N
effen;4,31;0,71;64;3,17;1,19;64;3,76;0,92;62;7,9;2,37;32;-0,28;0,53;5;0,9;A
efficiënt;5,7;0,75;64;4,55;1,14;64;5,3;1,12;64;10,42;2,92;32;0,57;3,68;9;0;A
egel;4,48;0,8;64;3,33;1,32;64;3,27;1,2;64;5,03;1,76;32;-0,24;0,57;4;0;N
ego;3,41;1,27;64;4,35;1,19;63;5,31;1,14;64;9,65;2,94;32;0,9;7,98;3;0,4;N
egoïstisch;1,94;0,73;64;4,22;1,45;64;4,25;1,81;64;9;2;32;-1,34;0,05;10;0;A
ei;4,44;0,69;64;2,97;1,14;64;3,17;1,3;64;4,13;1,26;32;1,21;16,19;2;0;N
eicel;4,42;0,77;64;4;1,38;64;3,91;1,4;64;10,58;2,39;32;-0,53;0,3;5;0;N
eigen;4,67;0,84;64;3,67;1,02;64;4,67;1,2;64;6,1;2,45;32;2,55;355,96;5;0;A
eigengereid;3,77;1,24;44;4,09;1,29;43;4,56;1,36;45;10,47;4,49;19;-1,64;0,02;11;32,3;A
eigenwijs;3,81;1,17;64;4,67;1,09;63;4,98;1,18;64;7,94;2,84;32;0,44;2,74;9;0,4;A
eigenzinnig;4,28;1,21;64;4,48;1,13;64;4,81;1,14;64;9,19;3,35;32;-0,64;0,23;11;0;A
eik;4,48;0,76;64;2,97;1,22;64;4,42;1,46;64;6,39;2,03;32;0,19;1,53;3;0;N
eikel;2,67;1,08;64;3,97;1,32;64;4,2;1,48;64;7,06;2,19;32;1,83;67,03;5;0;N
eind;3,31;1,02;64;3,2;1,37;64;4,53;1,18;64;5,9;1,97;32;1,92;83,17;4;0;N
einde;2,94;0,97;64;3,31;1,48;64;4,47;1,41;64;5,45;2,03;32;2,05;112,94;5;0;N
eis;3,03;0,69;64;4,75;1,14;64;5,31;1,22;64;7,81;2,27;32;1,08;12,07;3;0;N
eisen;2,86;0,71;64;5,14;1,01;64;5,23;1,18;64;7,77;2,46;32;1,32;21,11;5;0;V
ekster;3,97;0,8;64;4,3;1,1;63;3,67;1,14;63;7,29;2,21;32;-0,86;0,14;6;0,9;N
eland;4,48;0,71;64;3,92;1,2;63;4,21;1,06;63;7,52;2,35;32;0,42;2,63;5;0,9;N
electriciteit;4,48;0,73;64;5,06;1,21;64;4,89;1,29;64;7,06;2,19;32;-0,1;0,8;13;0;N
elf;4,86;0,83;64;3,69;1,32;64;3,58;1,18;64;4,71;1,62;32;1,44;27,83;3;0;N
embleem;4,35;0,6;62;3,2;1,2;64;4,45;0,99;62;9,97;2,79;32;-0,07;0,85;7;1,8;N
emir;3,83;0,89;35;3,5;1,22;40;4,73;1,53;33;10,17;5,32;12;-0,16;0,69;4;46,2;N
emmer;4,05;0,33;64;3,2;1,18;64;3,58;1,07;64;4,74;1,63;32;0,83;6,72;5;0;N
emotie;5,16;0,95;64;5,25;1,14;64;4,69;1,36;64;7,94;2,5;32;0,81;6,4;6;0;N
emotioneel;4,05;1,15;64;5,41;0,94;64;3,55;1,54;64;8,74;2,73;32;1,07;11,64;10;0;A
energie;5,66;0,88;64;6,06;0,94;64;5,39;1,02;64;7,42;2,32;32;1,59;38,81;7;0;N
energiek;5,8;0,72;64;6,16;1,04;64;5,33;0,91;64;8,55;3,17;32;0,12;1,33;8;0;A
energieloos;2,42;0,75;64;1,95;1,01;64;2,5;1,32;64;8,84;2,28;32;-1,64;0,02;11;0;A
eng;2,41;0,79;64;4,77;1,37;64;4,38;1,36;64;5,1;2,09;32;1,5;31,28;3;0;A
engel;5,7;0,89;64;3,33;1,32;64;4,53;1,41;64;5,68;1,49;32;1,51;32,63;5;0;N
enggeestig;2,34;0,73;59;3,81;1,53;58;3,63;1,75;51;10,74;3,06;27;-1,64;0,02;10;12,6;A
enig;4,84;1,04;64;3,61;1,28;64;3,78;1,11;64;7,58;2,05;32;1,71;51,75;4;0;A
enkel;4,03;0,67;64;3,48;1,11;64;3,23;1,05;64;5,61;1,84;32;2,06;113,68;5;0;A
enorm;4,83;0,77;64;4,78;1,33;64;5,31;1,07;64;6,65;1,82;32;1,65;44,55;5;0;A
enthousiasme;6,13;0,75;64;5,89;0,91;64;5,31;0,91;64;8,16;2,24;32;0,64;4,41;12;0;N
enthousiast;6,17;0,77;64;5,92;0,8;64;5,19;1,11;64;7,61;2,29;32;1,04;10,95;11;0;A
epos;4,77;0,94;52;3,78;1,26;58;4,35;1,25;51;12,7;2,4;23;-0,49;0,32;4;17,5;N
eren;5,17;0,81;64;4,44;1,09;63;4,6;1,4;63;8,13;2,45;31;0,88;7,57;4;1,3;V
erf;4,25;0,85;64;3,17;1,25;64;4;1,02;64;7,16;2,58;32;0,39;2,47;3;0;N
erg;2,86;0,97;64;4,94;1,14;64;4,8;1,09;64;4,77;1,43;32;2,87;749,2;3;0;A
ergernis;2,39;0,66;64;5,05;1,06;64;4,38;1,28;64;8,39;2,68;32;-0,12;0,75;8;0;N
erker;4,07;0,86;43;2,98;1,22;42;3,63;1,08;40;9,22;3,25;18;-0,8;0,16;5;35,9;N
ernst;3,47;1,18;64;3,98;1,24;64;4,86;0,96;64;8;2,25;32;0,77;5,83;5;0;N
ernstig;3,05;1,15;64;4,31;1,63;64;5,36;0,86;64;7,1;2,59;32;1,53;33,66;7;0;A
erts;4,07;0,44;61;3,48;1,35;63;4,34;1,14;62;10,38;2,82;30;-0,15;0,71;4;3,6;N
ervaren;5,25;0,78;64;4,36;1,23;64;4,98;1,16;64;8,23;2,67;32;1,11;12,87;7;0;V
erven;4,66;1,06;64;3,86;1,39;64;4,25;0,94;64;8,45;2,45;32;0,48;3,02;5;0;V
erwt;4,03;0,62;64;3,13;1,29;64;3,06;1,42;64;5,06;1,93;32;-0,26;0,55;4;0;N
essay;3,89;0,93;64;4,09;1,24;64;4,25;1,06;63;12;2,57;32;0,25;1,76;5;0,4;N
eten;5,45;0,92;64;4,08;1,36;64;4,22;1,19;64;3,35;1,62;32;2,65;445,92;4;0;V
ets;4,27;0,8;55;3,4;1,21;53;3,9;1,27;51;10,79;2,72;19;-0,46;0,34;3;20,2;N
etsen;4,16;0,83;55;4,42;1,05;55;4,08;1,02;53;11,5;3,22;20;-0,32;0,48;5;17,9;V
etter;2,14;0,87;64;4,47;1,17;64;4;1,59;64;8,23;2,99;32;0,7;4,99;5;0;N
etui;4,16;0,48;64;3,08;1,14;62;3,6;1;62;7,52;3,09;32;-1,16;0,07;4;1,8;N
euro;4,84;1,01;64;3,81;1,46;64;4,52;1,07;64;9,87;3,65;32;1;9,95;4;0;N
euvel;2,94;0,84;50;4,07;1,09;44;3,55;1,09;44;11,52;3,36;21;-0,86;0,14;5;28,7;N
even;4,28;0,81;64;3,42;1,04;64;3,64;1,07;64;6,13;1,93;32;3,15;1396,52;4;0;A
evenwichtig;5,55;0,75;64;3,35;1,12;63;4,63;0,95;64;8,9;2,74;32;-0,12;0,75;11;0,4;A
ex;2,47;0,78;64;4,19;1,26;64;3,86;1,26;64;9,23;2,54;32;1,18;15,3;2;0;N
examens;3,09;1,14;64;5,47;1,31;64;4,91;1,11;64;8,42;2,25;32;0,63;4,28;7;0;N
excentriek;4,42;1,17;64;5,08;1,06;64;5,09;1,15;64;11,9;2,59;32;0,33;2,13;10;0;A
excuus;3,52;1,13;64;3,98;1,12;64;3,19;1,33;64;7;2,29;32;1,38;23,85;6;0;N
executie;1,47;0,87;64;5,88;1,3;64;5,52;1,84;64;10;2,53;32;0,95;8,85;8;0;N
explosief;2,8;1,18;64;6,28;1,21;64;5,88;1,13;64;7,97;2,27;32;0,54;3,48;9;0;A
extatisch;5,73;0,83;62;5,95;1,26;62;5,25;0,97;57;12,26;3,34;28;-0,64;0,23;9;6,7;A
extravagant;4,39;1,2;64;5,41;1,09;64;5,08;1,11;63;11,87;2,79;32;-0,19;0,64;11;0,4;A
extravert;5,08;0,84;64;5,55;0,99;64;5,33;0,86;64;12,26;3,11;32;-0,74;0,18;9;0;A
extreem;3,44;1,31;64;5,94;1,21;64;5,89;1,09;64;8,23;2,46;32;0,95;8,9;7;0;A
ezel;3,89;0,92;63;3,72;1,25;64;3,34;1,3;64;4,97;1,72;32;1,06;11,41;4;0;N
faam;5,05;0,92;64;4,36;1,26;64;4,97;0,91;64;9,79;2,86;29;0,08;1,21;4;1,3;N
fabel;4,27;1,03;64;3,52;1,08;64;3,34;1,36;64;7,39;2,36;32;-0,28;0,53;5;0;N
fabriek;3,45;0,71;64;4,7;1,5;64;4,3;1,12;64;6,23;1,93;32;1,32;20,79;7;0;N
failliet;1,84;0,86;64;3,64;1,79;64;3,23;1,85;64;9,29;2,72;32;0,94;8,64;8;0;A
fair;5,53;0,85;64;3,98;1,12;64;4,56;1,05;64;9,65;2,63;31;0,37;2,36;4;0;A
fakkel;4,42;0,94;64;4,03;1,34;64;4,63;0,98;64;7,03;2,47;32;0,34;2,2;6;0;N
falen;2,03;0,8;64;4,02;1,56;64;2,92;1,56;64;8,77;2,77;32;1;9,97;5;0;V
familie;5,88;1;64;4,05;1,33;64;4,84;1,31;64;4,61;1,52;32;2,48;304,12;7;0;N
fan;5,16;1;64;5,09;1,06;64;3,75;1,47;64;7,03;1,71;31;1,28;19,21;3;0,4;N
fanfare;4,67;0,92;63;5,06;1,26;63;4,16;1,15;62;7,61;1,61;32;-0,05;0,89;7;1,8;N
fascinatie;5,52;0,85;64;5,13;1,05;64;5,05;1,01;63;10,16;2,72;32;-0,04;0,91;10;0,4;N
fase;4,2;0,6;64;3,83;1,11;64;3,89;0,91;64;8,13;2,5;32;1,19;15,55;4;0;N
fataal;1,61;0,88;64;4,98;1,52;64;5,39;1,63;64;9,42;2,57;32;0,67;4,64;6;0;A
fatsoen;5,2;0,8;64;3,7;1,19;63;4,53;1,05;64;8,74;1,71;32;0,71;5,08;7;0,4;N
fatsoenlijk;5,27;0,72;64;3,75;0,98;64;4,45;1,21;64;8,65;2,27;32;0,94;8,78;11;0;A
fauna;5,19;0,89;64;3,77;1,44;64;4,22;1,3;64;10,39;2,67;32;-0,21;0,62;5;0;N
fauteuil;4,74;0,89;62;2,32;1,05;62;3,8;0,99;64;9,48;2,47;32;-0,94;0,11;8;1,8;N
fazant;4,44;0,73;64;4,02;1,28;64;3,56;1,02;64;7,23;1,82;32;0,01;1,03;6;0;N
fee;5,23;0,9;64;4,09;1,34;64;3,52;1,41;64;4,58;1,36;32;0,75;5,67;3;0;N
feeks;2,22;0,92;60;4,69;1,07;61;4,52;1,6;56;8,7;2,78;31;0,28;1,9;5;7,2;N
feest;6,17;0,75;64;5,98;0,79;64;4,92;1,01;64;4,77;1,41;32;1,99;98,26;5;0;N
feestdag;5,91;0,81;64;4,63;1,52;64;4,48;1,07;64;6,65;2,27;32;0,48;3;8;0;N
feesten;5,97;0,8;64;6,13;0,65;64;4,8;0,99;64;6,03;2,32;32;1,3;20,12;7;0;V
feestmaal;5,95;0,92;64;4,83;1,19;64;4,61;1,2;64;6,16;1,66;32;0,34;2,17;9;0;N
feilloos;5,31;0,83;64;3,7;1,27;64;5,28;1,17;64;10;3,57;32;-0,36;0,43;8;0;A
feit;4,64;0,78;64;3,55;1,23;64;4,98;1,13;64;8,13;2,19;32;1,63;43,04;4;0;N
fel;3,75;0,96;64;5,67;1,16;63;5,17;1,08;64;6,68;1,92;32;0,8;6,27;3;0,4;A
ferm;4,81;0,87;62;4,59;1,19;63;5,08;0,84;59;8,81;2,63;32;-0,74;0,18;4;3,6;A
fiche;4,13;0,65;64;3,34;1,3;64;3,82;0,84;62;9,26;2,63;32;-0,3;0,5;5;0,9;N
fier;5,53;0,84;62;4,59;1,23;61;5,14;0,94;58;8,03;3,15;30;0,33;2,15;4;5,8;A
fiets;4,66;0,82;64;4,52;1,43;64;3,98;1;64;4,19;1,11;32;1,34;21,75;5;0;N
fietsen;4,88;0,93;64;5,33;0,94;64;4,09;1,03;64;4,65;1,43;32;0,81;6,43;7;0;V
figuur;4,5;0,69;64;3,78;1,2;64;4,08;0,86;64;5,74;1,93;32;1,09;12,19;6;0;N
fijn;5,78;0,79;64;3,98;1,24;64;4,23;1,34;64;5,32;1,68;32;2,3;198,06;4;0;A
fik;2,66;0,79;62;4,91;1,2;64;4,92;1,03;62;6,57;2,13;31;0,81;6,49;3;2,2;N
fiks;3,56;0,92;62;4,69;1,3;61;4,69;1,07;59;9,1;2,83;30;-0,44;0,37;4;5,4;A
file;2,48;0,96;64;2,81;1,41;64;4,19;1,22;64;6,84;1,88;32;0,69;4,94;6;0;N
film;5,41;0,89;64;4,13;1,32;64;4,14;1,02;64;4,9;1,49;32;2,24;174,28;4;0;N
filmen;4,72;0,77;64;4,77;1;64;4,14;0,91;64;5,58;1,65;32;1,29;19,48;6;0;V
filter;4,14;0,73;64;3,58;1,31;64;3,92;1,16;64;7,84;2,38;32;0,31;2,04;6;0;N
fit;5,55;0,85;64;5,25;1,07;64;5;1,2;64;7,48;1,75;32;0,73;5,37;3;0;A
fjord;4,61;1;54;3,27;1,38;55;4,49;1,05;51;10,43;3,52;28;-0,86;0,14;5;15,7;N
flank;4,05;0,43;59;3,52;1,22;61;3,71;0,93;59;8,77;2,64;32;0,28;1,9;5;5,8;N
flap;3,89;0,65;64;3,46;1,28;63;3,54;0,89;63;6,45;2,39;32;-0,02;0,96;4;0,9;N
flard;3,49;0,63;57;3,64;1,1;58;3,22;0,92;55;8,93;2,45;27;0,66;4,55;5;11,7;N
flat;4,03;0,78;64;3,3;1,29;63;4,02;1,12;64;6,87;2,72;32;1,54;34,46;4;0,4;N
flauw;2,95;0,58;64;2,73;0,93;64;2,78;1,09;64;6,84;2,05;32;1,33;21,5;5;0;A
fles;4,3;0,58;64;3,44;1,25;64;3,95;0,97;64;4,52;1,81;32;1,66;45,71;4;0;N
flets;3,14;0,86;63;2,98;1,29;62;3,07;1,13;60;9,27;3,6;30;-0,56;0,27;5;3,6;A
flink;5,27;1,03;64;4,28;1,13;64;4,75;1,13;64;4,87;1,52;32;1,6;39,56;5;0;A
flirt;5,25;1,01;64;5,52;0,93;64;4,53;0,93;64;10,32;2,44;32;0,64;4,34;5;0;N
flirten;5,59;0,9;64;5,73;0,78;64;4,81;0,92;64;9,97;2,97;32;0,82;6,61;7;0;V
flits;3,72;0,79;64;5,03;1,48;64;4,25;1,18;64;6,06;1,86;32;0,52;3,32;5;0;N
flitsen;3,44;0,99;64;5,19;1,19;64;4,38;0,88;64;7,3;2,59;31;0,27;1,88;7;0,4;V
flora;5,2;0,8;64;3,55;1,53;64;3,91;1,09;64;10,1;2,44;32;0,4;2,54;5;0;N
fluit;4,41;0,68;64;3,75;1,18;64;3,86;0,91;64;5,13;1,63;32;0,87;7,39;5;0;N
fluiten;4,97;0,76;64;4,5;1,1;64;3,94;1,11;64;5,39;1,76;32;0,67;4,67;7;0;V
fluweel;5,14;0,89;64;2,92;1,29;64;3,34;1,31;64;8,1;2,49;32;0,05;1,12;7;0;A
fobie;2,23;0,85;64;5,41;1,29;64;3,88;1,86;64;10,29;2,92;32;-0,15;0,71;5;0;N
fokken;3,75;0,87;64;5,05;0,95;64;4,16;1,18;64;8,74;2,98;32;0,51;3,27;6;0;V
fonds;4,69;0,75;64;3,59;1,01;63;4,03;1,08;64;9,74;2,53;32;0,58;3,82;5;0,4;N
fontein;5,13;0,86;64;3,92;1,48;64;4,05;0,92;64;6,26;1,97;32;0,6;3,96;7;0;N
fooi;5,06;0,96;64;4,08;1,21;64;4;1,23;64;8,71;2,34;32;1,04;10,93;4;0;N
forel;4,17;0,77;64;4,17;1,28;64;3,41;1,13;63;8,29;2,89;32;0,28;1,9;5;0,4;N
fornuis;4,11;0,62;64;3,84;1,25;63;3,92;0,96;64;6,13;2,2;32;0,48;3;7;0,4;N
fors;4,03;0,93;64;4,28;1,31;64;5,16;0,78;64;8,35;2,78;32;0,09;1,23;4;0;A
fort;4,03;0,73;64;3,97;1,57;64;5,2;1,34;64;6,81;2,37;32;0,97;9,38;4;0;N
fortuin;5,56;0,89;64;4,45;1,55;64;5,27;1,04;64;7,7;2,42;31;1,15;14,27;7;0;N
foto;4,8;0,8;64;3,38;1,4;64;4,03;0,87;64;4,48;1,43;32;2,08;119,16;4;0;N
fout;2,56;0,83;64;3,86;1,25;64;3,8;1,45;64;4,71;1,55;32;2,22;165,27;4;0;A
foutloos;5,64;1,01;64;3,91;1,56;64;5,47;1,11;64;7,45;2,55;32;-0,24;0,57;8;0;A
fraai;5,41;0,77;64;4,13;1;64;4,34;1,09;64;8,39;2,73;32;0,81;6,4;5;0;A
fragiel;3,06;0,81;64;2,94;1,1;64;2,05;0,97;63;9,61;3,38;32;0,01;1,03;7;0,4;A
framboos;4,95;0,93;64;3,2;1,2;64;3,33;1,17;64;6;2,1;32;-0,56;0,27;8;0;N
franje;4,44;0,89;64;3,79;1,32;56;3,43;1,13;61;9,9;2,96;29;-0,18;0,66;6;5,8;N
frats;4,05;0,97;61;4,59;1,23;63;3,75;1,14;59;8,6;2,85;31;-0,06;0,87;5;4,5;N
fraude;2,06;0,79;64;4,72;1,27;64;4,13;1,69;64;10,55;2,39;32;0,7;5,03;6;0;N
frêle;3,93;1,19;41;3,08;1,19;38;2,63;1,3;38;11,6;3,02;15;-1,64;0,02;5;40,8;A
fries;4,19;0,66;59;3,63;1,19;57;3,87;0,97;54;9,21;3,22;29;-0,64;0,23;5;10,8;N
friet;5,13;1,15;64;3,68;1,29;63;3,89;0,93;64;4,55;1,34;32;0,52;3,34;5;0,4;N
fris;5,22;1,11;64;4,08;0,96;64;4,21;0,94;63;5,74;2,16;32;1,06;11,37;4;0,4;A
frisbee;4,8;0,76;64;4,67;1,35;64;3,67;1,2;64;6,26;1,9;32;0,26;1,83;7;0;N
frivool;5;0,99;54;4,39;1,29;57;4;1,24;54;11,41;3,85;27;-0,53;0,3;7;13,9;A
frons;3,08;0,54;64;4,05;1,05;64;4,25;1,08;63;7,68;2,68;32;-0,44;0,37;5;0,4;N
fronsen;3;0,71;64;4,37;1;63;4,11;1,09;64;8,03;2,63;32;-0,3;0,5;7;0,4;V
front;3,68;0,86;63;4,63;1,29;64;4,81;1,08;64;8,61;3,07;32;1,02;10,4;5;0,4;N
fruit;5,22;1;64;3,34;1,17;64;4,02;1,08;64;4,32;1,54;32;1,11;12,94;5;0;N
frustratie;2,17;0,72;64;5,52;1,25;64;4,41;1,48;64;9,03;2,63;32;0,29;1,94;10;0;N
fuif;5,44;0,96;63;5,84;0,91;64;4,46;0,89;63;9,23;2,85;32;0,42;2,61;4;0,9;N
fuiven;5,38;1,04;63;5,79;0,99;63;4,28;1,21;61;10,03;2,72;30;-0,28;0,53;6;2,7;V
furie;2,66;0,99;62;6,14;1,03;63;5,42;1,3;59;10,38;2,69;30;-0,03;0,94;5;4,5;N
furieus;2,23;0,94;64;6,21;0,92;63;5,67;1,27;64;10,16;2,89;32;-0,32;0,48;7;0,4;N
fut;4,06;1,19;64;4,14;1,5;64;3,84;1,2;62;8,45;2,67;32;-0,46;0,34;3;0,9;N
futloos;2,25;0,69;64;2,09;1,03;64;2,39;1,16;64;9,26;2,62;32;-0,86;0,14;7;0;A
gaaf;5,38;0,85;64;4,28;1,34;64;4,65;1,02;63;7,74;2,63;32;1,59;39,22;4;0,4;A
gaai;4,07;0,65;45;4,15;1,22;48;3,96;0,8;45;7,89;3,93;19;-0,49;0,32;4;29,1;N
gaan;4,27;0,74;64;4,66;0,95;64;4,23;0,87;64;4,16;1,7;32;3,42;2650,41;4;0;V
gaar;4,33;0,94;64;3,53;1,17;64;3,73;1,1;64;7,61;2,94;32;0,44;2,77;4;0;A
gaas;3,69;0,73;64;3,28;1,25;64;3,48;1,13;62;7,66;2,5;30;-0,08;0,82;4;1,8;N
gal;2,75;0,82;64;3,71;1,29;63;4,08;1,23;64;10,35;2,67;32;0,29;1,94;3;0,4;N
gala;5,34;0,93;64;4,73;1,06;64;4,31;1,05;64;9,94;3,05;32;0,19;1,56;4;0;N
galabal;5,33;1,03;63;5,14;1,17;59;4,16;1,15;57;10,72;2,59;30;-0,1;0,8;7;6,7;N
galant;5,69;0,71;64;3,94;1,08;64;4,54;1,06;63;9,87;2,92;32;0,08;1,19;6;0,4;A
galg;1,75;0,8;64;4,23;1,7;64;5,03;1,56;64;8,71;2,87;32;0,4;2,52;4;0;N
galop;4,63;0,85;64;5,55;1,01;64;4,78;1;64;7,81;2,75;32;-0,3;0,5;5;0;N
game;4,89;0,89;64;4,86;1,26;64;4,23;0,75;64;8,03;1,94;32;0,7;5,01;4;0;N
gamma;4,17;0,63;64;3,66;1,24;62;4,05;0,98;62;9,68;3,13;32;0,03;1,07;5;1,8;N
gammel;2,83;0,79;63;3,44;1,2;61;2,71;1,2;58;8,56;2,69;28;-0,36;0,43;6;6,3;A
gang;3,89;0,44;64;3,27;1,22;64;3,92;0,95;64;5,13;1,93;32;2,04;110,79;4;0;N
gangster;2,31;1,04;64;5,45;1,01;64;5,28;1,28;64;8,71;2,53;32;0,9;7,89;8;0;N
gans;4,25;0,76;63;4;1,25;64;3,58;1,21;64;5,06;1,71;32;0,77;5,88;4;0;N
gapen;3,41;0,79;64;3,08;1,42;64;3,28;1,03;64;6,06;2,5;32;0,1;1,26;5;0;V
garnaal;4,23;1,02;64;3,53;1,36;64;2,73;1,21;64;6,77;2,38;32;0,26;1,83;7;0;N
gas;3,44;1,11;64;3,83;1,29;64;4,34;1,18;64;7,35;1,92;32;1,42;26,41;3;0;N
gasmasker;2,5;1,01;64;4,09;1,52;64;4,73;1,26;64;8,55;2,05;32;-0,18;0,66;9;0;N
gast;4,89;0,86;64;3,81;0,99;64;3,88;1,02;64;6,16;2,08;32;1,75;56,26;4;0;N
gastvrij;5,86;0,83;64;4,24;1;63;4,38;1,32;64;8,19;2,14;32;0,14;1,37;8;0,4;A
gat;3,2;0,62;64;3,47;1,19;64;3,77;0,96;64;4,61;1,82;32;1,7;49,97;3;0;N
gauw;4,27;0,78;64;4,77;1,24;64;4,02;0,93;64;6,35;2,54;32;1,78;60,55;4;0;A
